timestamp,district,pm25,pm10,co2,no2,aqi
2025-01-01 08:00:00,المعادي,94.46,70.52,538.19,48.92,78.17
2025-01-01 08:00:00,مصر الجديدة,63.43,48.16,371.65,85.94,63.35
2025-01-01 08:00:00,مدينة نصر,59.66,58.71,438.2,34.57,54.36
2025-01-01 08:00:00,الجيزة,24.57,84.93,463.23,54.14,48.59
2025-01-01 08:00:00,التجمع الخامس,66.35,106.04,589.66,40.19,73.03
2025-01-01 08:05:00,المعادي,53.57,71.39,437.33,70.76,62.35
2025-01-01 08:05:00,مصر الجديدة,46.78,150.58,306.34,43.51,77.27
2025-01-01 08:05:00,مدينة نصر,120.86,87.58,469.12,26.4,91.99
2025-01-01 08:05:00,الجيزة,116.46,38.89,555.76,25.86,75.07
2025-01-01 08:05:00,التجمع الخامس,133.67,89.93,516.81,35.54,100.92
2025-01-01 08:10:00,المعادي,137.77,51.53,353.56,49.44,94.23
2025-01-01 08:10:00,مصر الجديدة,30.65,63.32,583.13,88.12,51.94
2025-01-01 08:10:00,مدينة نصر,68.91,186.96,463.45,31.58,96.86
2025-01-01 08:10:00,الجيزة,111.31,142.01,596.74,31.2,104.5
2025-01-01 08:10:00,التجمع الخامس,107.37,38.84,334.09,10.31,67.4
2025-01-01 08:15:00,المعادي,149.93,166.39,536.02,50.78,135.04
2025-01-01 08:15:00,مصر الجديدة,59.01,55.71,385.4,40.08,54.23
2025-01-01 08:15:00,مدينة نصر,118.32,121.74,323.25,11.44,97.97
2025-01-01 08:15:00,الجيزة,33.3,99.78,579.96,60.99,58.79
2025-01-01 08:15:00,التجمع الخامس,124.24,109.28,408.5,18.67,98.64
2025-01-01 08:20:00,المعادي,133.87,163.14,350.44,50.98,126.07
2025-01-01 08:20:00,مصر الجديدة,83.36,136.27,583.86,56.38,93.84
2025-01-01 08:20:00,مدينة نصر,90.23,38.55,318.87,24.99,61.68
2025-01-01 08:20:00,الجيزة,24.22,156.37,517.0,20.88,63.2
2025-01-01 08:20:00,التجمع الخامس,128.69,56.31,390.35,29.92,87.22
2025-01-01 08:25:00,المعادي,68.4,73.29,446.69,42.59,64.71
2025-01-01 08:25:00,مصر الجديدة,148.25,39.51,342.65,14.23,88.82
2025-01-01 08:25:00,مدينة نصر,101.36,39.27,550.93,50.96,72.65
2025-01-01 08:25:00,الجيزة,88.51,125.47,351.24,25.82,87.06
2025-01-01 08:25:00,التجمع الخامس,61.45,130.89,363.04,19.31,73.85
2025-01-01 08:30:00,المعادي,146.12,33.74,540.81,73.04,97.79
2025-01-01 08:30:00,مصر الجديدة,58.64,53.06,343.69,65.79,58.39
2025-01-01 08:30:00,مدينة نصر,103.56,163.07,581.24,65.35,113.77
2025-01-01 08:30:00,الجيزة,40.26,71.39,552.66,26.74,46.89
2025-01-01 08:30:00,التجمع الخامس,29.43,149.56,420.76,83.6,76.3
2025-01-01 08:35:00,المعادي,104.53,45.37,584.36,30.68,72.01
2025-01-01 08:35:00,مصر الجديدة,63.84,98.38,315.37,49.72,71.38
2025-01-01 08:35:00,مدينة نصر,36.03,98.16,405.21,71.83,61.83
2025-01-01 08:35:00,الجيزة,124.41,56.08,409.97,39.87,87.0
2025-01-01 08:35:00,التجمع الخامس,39.68,165.74,512.17,25.23,74.61
2025-01-01 08:40:00,المعادي,67.67,47.99,488.46,19.71,52.17
2025-01-01 08:40:00,مصر الجديدة,148.17,162.72,417.07,56.29,134.16
2025-01-01 08:40:00,مدينة نصر,138.47,124.2,352.35,40.3,114.56
2025-01-01 08:40:00,الجيزة,129.61,139.52,495.22,79.35,122.53
2025-01-01 08:40:00,التجمع الخامس,136.22,186.36,328.45,53.53,134.72
2025-01-01 08:45:00,المعادي,116.27,158.68,482.01,23.34,110.4
2025-01-01 08:45:00,مصر الجديدة,123.66,152.42,325.84,47.1,116.98
2025-01-01 08:45:00,مدينة نصر,42.62,87.37,305.42,42.03,55.93
2025-01-01 08:45:00,الجيزة,91.48,135.33,499.05,76.9,101.72
2025-01-01 08:45:00,التجمع الخامس,48.01,50.48,555.46,22.53,43.66
2025-01-01 08:50:00,المعادي,146.72,173.23,450.26,88.51,143.03
2025-01-01 08:50:00,مصر الجديدة,32.66,81.52,491.47,38.0,48.39
2025-01-01 08:50:00,مدينة نصر,140.69,41.16,464.82,57.27,94.15
2025-01-01 08:50:00,الجيزة,104.85,73.46,409.37,77.49,89.97
2025-01-01 08:50:00,التجمع الخامس,45.34,170.57,468.8,70.98,88.04
2025-01-01 08:55:00,المعادي,112.77,65.28,470.64,79.42,91.85
2025-01-01 08:55:00,مصر الجديدة,76.18,194.32,435.66,21.42,100.67
2025-01-01 08:55:00,مدينة نصر,70.63,191.79,395.92,79.45,108.74
2025-01-01 08:55:00,الجيزة,134.56,89.53,324.98,67.96,107.73
2025-01-01 08:55:00,التجمع الخامس,60.5,163.1,432.8,48.82,88.94
2025-01-01 09:00:00,المعادي,121.13,95.0,432.94,40.1,97.08
2025-01-01 09:00:00,مصر الجديدة,67.75,119.41,542.64,38.94,77.49
2025-01-01 09:00:00,مدينة نصر,88.15,144.02,380.83,32.2,93.72
2025-01-01 09:00:00,الجيزة,141.34,153.0,473.16,61.82,128.94
2025-01-01 09:00:00,التجمع الخامس,23.81,135.08,452.85,53.66,63.16
2025-01-01 09:05:00,المعادي,66.73,43.85,358.0,86.06,63.73
2025-01-01 09:05:00,مصر الجديدة,73.13,109.34,315.81,13.01,71.97
2025-01-01 09:05:00,مدينة نصر,113.23,121.48,452.61,29.45,98.95
2025-01-01 09:05:00,الجيزة,116.82,58.6,356.98,46.86,85.36
2025-01-01 09:05:00,التجمع الخامس,57.22,72.07,493.57,62.08,62.64
2025-01-01 09:10:00,المعادي,127.19,101.01,321.93,31.89,100.28
2025-01-01 09:10:00,مصر الجديدة,147.4,131.36,512.92,10.59,115.23
2025-01-01 09:10:00,مدينة نصر,87.37,36.38,470.77,83.66,71.33
2025-01-01 09:10:00,الجيزة,145.89,121.89,437.46,85.6,126.64
2025-01-01 09:10:00,التجمع الخامس,107.57,41.03,439.72,29.22,71.94
2025-01-01 09:15:00,المعادي,81.07,107.43,474.64,38.54,80.47
2025-01-01 09:15:00,مصر الجديدة,41.36,115.63,549.06,63.12,67.99
2025-01-01 09:15:00,مدينة نصر,63.99,189.04,573.66,26.75,94.06
2025-01-01 09:15:00,الجيزة,25.12,156.02,548.28,87.43,76.85
2025-01-01 09:15:00,التجمع الخامس,135.68,132.09,459.02,12.23,109.91
2025-01-01 09:20:00,المعادي,52.07,108.13,488.55,54.58,69.39
2025-01-01 09:20:00,مصر الجديدة,116.54,77.56,469.49,17.05,84.95
2025-01-01 09:20:00,مدينة نصر,73.78,157.53,508.02,89.25,102.0
2025-01-01 09:20:00,الجيزة,56.13,114.69,398.86,45.25,71.52
2025-01-01 09:20:00,التجمع الخامس,131.4,146.32,564.73,26.28,114.85
2025-01-01 09:25:00,المعادي,133.54,40.16,566.58,36.33,86.08
2025-01-01 09:25:00,مصر الجديدة,60.9,117.06,582.21,13.82,68.33
2025-01-01 09:25:00,مدينة نصر,65.79,175.62,418.82,25.93,90.77
2025-01-01 09:25:00,الجيزة,75.22,95.54,574.62,70.95,80.47
2025-01-01 09:25:00,التجمع الخامس,85.67,198.02,439.58,14.66,105.17
2025-01-01 09:30:00,المعادي,54.1,104.13,347.07,85.81,75.45
2025-01-01 09:30:00,مصر الجديدة,119.69,75.61,477.24,67.72,96.07
2025-01-01 09:30:00,مدينة نصر,142.37,179.88,454.56,71.97,139.54
2025-01-01 09:30:00,الجيزة,93.08,123.96,334.42,20.09,87.75
2025-01-01 09:30:00,التجمع الخامس,88.84,75.71,306.31,67.83,80.7
2025-01-01 09:35:00,المعادي,24.22,131.2,461.76,87.51,68.97
2025-01-01 09:35:00,مصر الجديدة,82.95,40.81,465.51,77.29,69.18
2025-01-01 09:35:00,مدينة نصر,149.59,103.16,396.09,82.53,122.25
2025-01-01 09:35:00,الجيزة,44.86,134.62,421.71,13.29,65.47
2025-01-01 09:35:00,التجمع الخامس,65.15,75.09,505.83,85.9,72.28
2025-01-01 09:40:00,المعادي,54.85,167.95,316.61,53.05,88.42
2025-01-01 09:40:00,مصر الجديدة,29.17,188.79,529.91,62.64,83.75
2025-01-01 09:40:00,مدينة نصر,127.11,140.08,590.68,67.12,119.0
