timestamp,district,pm2_5,pm10,no2,co,aqi,lat,lon
2025-11-14T19:51:29.717131,الجيزة,60.5,95.47,33.33,0.41,65.55,29.973515,31.125363
2025-11-14T19:51:30.719612,الجيزة,76.7,129.83,25.04,0.8,82.31,29.972677,31.126027
2025-11-14T19:51:31.721122,الجيزة,99.22,151.27,33.68,1.18,101.73,29.973139,31.12603
2025-11-14T19:51:32.722840,الجيزة,73.37,116.74,59.35,1.18,83.58,29.973704,31.125381
2025-11-14T19:51:33.724834,الجيزة,46.0,68.66,86.16,0.91,60.83,29.97333,31.125931
2025-11-14T19:51:34.726364,الجيزة,131.69,208.67,57.56,0.77,139.96,29.972489,31.125545
2025-11-14T19:51:35.735713,التجمع الخامس,130.17,220.06,34.26,0.53,137.96,30.020228,31.499267
2025-11-14T19:51:36.737370,المعادي,77.35,126.09,30.51,1.05,82.6,29.975238,31.255651
2025-11-14T19:51:37.738862,وسط البلد,102.24,169.07,49.14,0.81,111.67,30.046517,31.235186
2025-11-14T19:51:38.740153,وسط البلد,49.81,76.44,86.08,0.37,65.05,30.045656,31.235635
2025-11-14T19:51:39.742010,مدينة نصر,69.19,113.57,36.15,0.6,75.9,30.066566,31.330064
2025-11-14T19:51:40.743008,مدينة نصر,113.72,182.07,61.6,1.16,123.8,30.06666,31.33074
2025-11-14T19:51:41.744478,الجيزة,61.21,99.81,41.9,0.76,68.93,29.973442,31.12651
2025-11-14T19:51:42.745959,المعادي,102.0,160.14,61.25,0.68,111.29,29.974904,31.25578
2025-11-14T19:51:43.748103,التجمع الخامس,136.03,211.69,41.56,0.87,139.84,30.02174,31.498794
2025-11-14T19:51:44.749742,الجيزة,122.26,205.03,89.78,0.54,140.59,29.973731,31.125411
2025-11-14T19:51:45.750767,مدينة نصر,128.91,204.49,92.53,1.09,144.31,30.066313,31.329882
2025-11-14T19:51:46.752603,مدينة نصر,140.42,223.8,56.95,0.33,148.74,30.066379,31.329564
2025-11-14T19:51:47.754212,المعادي,90.81,152.62,44.47,1.14,100.09,29.975416,31.254379
2025-11-14T19:51:48.755596,وسط البلد,89.91,155.96,39.43,0.91,99.63,30.045969,31.235392
2025-11-14T19:51:49.757572,الجيزة,91.2,146.52,51.22,1.2,99.8,29.972927,31.126403
2025-11-14T19:51:50.758688,مدينة نصر,87.86,143.82,76.61,0.42,102.4,30.067414,31.33009
2025-11-14T19:51:51.760191,التجمع الخامس,93.71,147.86,97.05,0.76,110.62,30.020311,31.498318
2025-11-14T19:51:52.761667,التجمع الخامس,105.44,164.87,94.62,1.1,121.1,30.02119,31.49838
2025-11-14T19:51:53.763463,الجيزة,40.67,60.15,89.75,1.12,56.33,29.973565,31.126165
2025-11-14T19:51:54.764873,وسط البلد,69.69,110.07,62.8,0.41,80.43,30.04603,31.235323
2025-11-14T19:51:55.766007,مدينة نصر,54.03,102.96,88.56,0.61,75.61,30.067728,31.3303
2025-11-14T19:51:56.767148,الجيزة,80.5,126.7,41.53,0.34,86.56,29.9724,31.125401
2025-11-14T19:51:57.768468,الجيزة,111.73,174.8,48.24,1.07,117.95,29.972499,31.12525
2025-11-14T19:51:58.770244,مدينة نصر,125.77,198.1,66.03,0.31,135.52,30.06631,31.330094
2025-11-14T19:51:59.771524,مدينة نصر,54.25,87.12,85.03,1.13,70.27,30.066789,31.329872
2025-11-14T19:52:00.772911,الجيزة,130.2,206.58,93.2,0.78,145.72,29.973691,31.126459
2025-11-14T19:52:01.774886,المعادي,46.76,61.69,92.69,1.15,60.43,29.975253,31.254999
2025-11-14T19:52:02.776462,مدينة نصر,117.36,184.94,63.63,0.34,126.89,30.06772,31.330208
2025-11-14T19:52:03.777843,الجيزة,107.58,176.29,88.91,0.3,124.46,29.973725,31.126203
