timestamp,road_id,road_name,cars_count,avg_speed_kmh,district,lat,lon
2025-11-14T19:51:29.717131,1,صلاح سالم,87,27.59,مدينة نصر,30.067661,31.330669
2025-11-14T19:51:30.719612,1,صلاح سالم,53,47.49,مدينة نصر,30.06728,31.329571
2025-11-14T19:51:31.721122,4,المعادي كورنيش,123,30.8,المعادي,29.974414,31.255242
2025-11-14T19:51:32.722840,1,صلاح سالم,190,27.39,مدينة نصر,30.066677,31.329781
2025-11-14T19:51:33.724834,3,كورنيش النيل,102,25.91,وسط البلد,30.046299,31.234549
2025-11-14T19:51:34.726364,5,محور المشير/التجمع,107,28.06,التجمع الخامس,30.021614,31.499602
2025-11-14T19:51:35.735713,3,كورنيش النيل,97,22.53,وسط البلد,30.045933,31.234362
2025-11-14T19:51:36.737370,2,الهرم,96,30.19,الجيزة,29.972395,31.125639
2025-11-14T19:51:37.738862,2,الهرم,157,14.6,الجيزة,29.973321,31.126257
2025-11-14T19:51:38.740153,5,محور المشير/التجمع,128,33.35,التجمع الخامس,30.021552,31.498607
2025-11-14T19:51:39.742010,3,كورنيش النيل,153,40.75,وسط البلد,30.046334,31.234682
2025-11-14T19:51:40.743008,3,كورنيش النيل,152,26.52,وسط البلد,30.046181,31.235343
2025-11-14T19:51:41.744478,4,المعادي كورنيش,120,37.67,المعادي,29.974455,31.25508
2025-11-14T19:51:42.745959,5,محور المشير/التجمع,94,34.25,التجمع الخامس,30.020869,31.499697
2025-11-14T19:51:43.748103,2,الهرم,123,31.69,الجيزة,29.973599,31.125782
2025-11-14T19:51:44.749742,1,صلاح سالم,110,19.06,مدينة نصر,30.067354,31.329585
2025-11-14T19:51:45.750767,3,كورنيش النيل,147,30.54,وسط البلد,30.045567,31.235727
2025-11-14T19:51:46.752603,1,صلاح سالم,66,28.41,مدينة نصر,30.067414,31.329681
2025-11-14T19:51:47.754212,2,الهرم,71,45.33,الجيزة,29.972228,31.125467
2025-11-14T19:51:48.755596,2,الهرم,35,40.81,الجيزة,29.973457,31.12598
2025-11-14T19:51:49.757572,1,صلاح سالم,118,32.91,مدينة نصر,30.066481,31.329286
2025-11-14T19:51:50.758688,3,كورنيش النيل,172,23.67,وسط البلد,30.046753,31.234663
2025-11-14T19:51:51.760191,1,صلاح سالم,133,28.52,مدينة نصر,30.066591,31.330276
2025-11-14T19:51:52.761667,1,صلاح سالم,122,36.03,مدينة نصر,30.067189,31.329959
2025-11-14T19:51:53.763463,4,المعادي كورنيش,105,38.13,المعادي,29.974744,31.254803
2025-11-14T19:51:54.764873,5,محور المشير/التجمع,74,48.33,التجمع الخامس,30.020856,31.498986
2025-11-14T19:51:55.766007,4,المعادي كورنيش,81,12.23,المعادي,29.975044,31.255718
2025-11-14T19:51:56.767148,3,كورنيش النيل,170,21.2,وسط البلد,30.046428,31.23521
2025-11-14T19:51:57.768468,3,كورنيش النيل,200,34.38,وسط البلد,30.045533,31.234487
2025-11-14T19:51:58.770244,3,كورنيش النيل,188,14.84,وسط البلد,30.045518,31.23469
2025-11-14T19:51:59.771524,3,كورنيش النيل,99,31.88,وسط البلد,30.046277,31.235383
2025-11-14T19:52:00.772911,3,كورنيش النيل,140,41.76,وسط البلد,30.045263,31.23422
2025-11-14T19:52:01.774886,2,الهرم,109,28.3,الجيزة,29.973068,31.125453
2025-11-14T19:52:02.776462,4,المعادي كورنيش,126,32.29,المعادي,29.975147,31.255778
2025-11-14T19:52:03.777843,2,الهرم,108,30.2,الجيزة,29.972908,31.126295
2025-11-14T19:52:04.779137,3,كورنيش النيل,171,35.02,وسط البلد,30.046797,31.235794
2025-11-14T19:52:05.780181,2,الهرم,136,24.1,الجيزة,29.973569,31.126063
2025-11-14T19:52:06.781417,2,الهرم,159,21.54,الجيزة,29.973396,31.125935
2025-11-14T19:52:07.783130,4,المعادي كورنيش,132,28.37,المعادي,29.975165,31.254574
2025-11-14T19:52:08.784600,1,صلاح سالم,115,37.43,مدينة نصر,30.067619,31.330316
2025-11-14T19:52:09.785612,1,صلاح سالم,165,22.68,مدينة نصر,30.067219,31.329786
2025-11-14T19:52:10.786822,4,المعادي كورنيش,74,27.83,المعادي,29.975759,31.255419
2025-11-14T19:52:11.788166,3,كورنيش النيل,59,57.1,وسط البلد,30.04577,31.235178
2025-11-14T19:52:12.790085,3,كورنيش النيل,200,32.1,وسط البلد,30.045564,31.235368
2025-11-14T19:52:13.791648,5,محور المشير/التجمع,93,25.78,التجمع الخامس,30.020414,31.499101
2025-11-14T19:52:14.793343,5,محور المشير/التجمع,118,27.59,التجمع الخامس,30.020351,31.499161
2025-11-14T19:52:15.794894,5,محور المشير/التجمع,115,44.56,التجمع الخامس,30.020876,31.498844
2025-11-14T19:52:16.796167,1,صلاح سالم,108,58.02,مدينة نصر,30.067651,31.329279
2025-11-14T19:52:17.797766,1,صلاح سالم,67,26.56,مدينة نصر,30.067388,31.330273
2025-11-14T19:52:18.799236,1,صلاح سالم,77,38.24,مدينة نصر,30.067436,31.33074
2025-11-14T19:52:19.801009,3,كورنيش النيل,123,31.4,وسط البلد,30.045443,31.234297
2025-11-14T19:52:20.802574,1,صلاح سالم,122,25.62,مدينة نصر,30.066683,31.329896
2025-11-14T19:52:21.803614,2,الهرم,105,21.97,الجيزة,29.973152,31.12527
2025-11-14T19:52:22.804922,2,الهرم,135,23.36,الجيزة,29.972519,31.125265
2025-11-14T19:52:23.806285,4,المعادي كورنيش,131,27.59,المعادي,29.975376,31.254264
2025-11-14T19:52:24.807660,5,محور المشير/التجمع,109,22.57,التجمع الخامس,30.020959,31.498752
2025-11-14T19:52:25.809191,2,الهرم,150,31.02,الجيزة,29.972722,31.126084
2025-11-14T19:52:26.810719,1,صلاح سالم,132,29.42,مدينة نصر,30.067056,31.330648
2025-11-14T19:52:27.812338,3,كورنيش النيل,76,24.16,وسط البلد,30.045692,31.235508
2025-11-14T19:52:28.813995,2,الهرم,94,28.23,الجيزة,29.973028,31.1265
2025-11-14T19:52:29.815206,4,المعادي كورنيش,162,33.09,المعادي,29.974436,31.255478
2025-11-14T19:52:30.816646,1,صلاح سالم,137,20.79,مدينة نصر,30.066632,31.329484
2025-11-14T19:52:31.818029,5,محور المشير/التجمع,157,31.82,التجمع الخامس,30.021559,31.49918
2025-11-14T19:52:32.819513,4,المعادي كورنيش,151,26.76,المعادي,29.975429,31.255368
2025-11-14T19:52:33.820830,1,صلاح سالم,101,39.79,مدينة نصر,30.067761,31.329222
2025-11-14T19:52:34.821858,4,المعادي كورنيش,81,39.67,المعادي,29.974633,31.255083
2025-11-14T19:52:35.822876,2,الهرم,142,38.94,الجيزة,29.973679,31.125698
2025-11-14T19:52:36.824048,5,محور المشير/التجمع,112,46.59,التجمع الخامس,30.020439,31.498765
2025-11-14T19:52:37.825769,3,كورنيش النيل,168,38.29,وسط البلد,30.045297,31.234967
2025-11-14T19:52:38.827576,5,محور المشير/التجمع,167,17.83,التجمع الخامس,30.020508,31.499347
2025-11-14T19:52:39.829232,1,صلاح سالم,118,42.11,مدينة نصر,30.067397,31.33033
2025-11-14T19:52:40.830513,3,كورنيش النيل,156,42.01,وسط البلد,30.046758,31.235039
2025-11-14T19:52:41.831560,5,محور المشير/التجمع,118,31.08,التجمع الخامس,30.021045,31.498472
2025-11-14T19:52:42.834070,5,محور المشير/التجمع,96,45.89,التجمع الخامس,30.02134,31.498508
2025-11-14T19:52:43.835297,5,محور المشير/التجمع,76,23.71,التجمع الخامس,30.020897,31.499591
2025-11-14T19:52:44.836346,5,محور المشير/التجمع,93,40.52,التجمع الخامس,30.021271,31.499212
2025-11-14T19:52:45.837888,3,كورنيش النيل,149,34.98,وسط البلد,30.046106,31.234945
2025-11-14T19:52:46.839397,5,محور المشير/التجمع,85,27.9,التجمع الخامس,30.020406,31.499297
2025-11-14T19:52:47.840689,2,الهرم,177,29.84,الجيزة,29.972573,31.125949
2025-11-14T19:52:48.842105,1,صلاح سالم,152,26.5,مدينة نصر,30.067198,31.330723
2025-11-14T19:52:49.843407,2,الهرم,79,15.51,الجيزة,29.973679,31.125503
2025-11-14T19:52:50.844877,2,الهرم,128,33.03,الجيزة,29.97362,31.126275
2025-11-14T19:52:51.846162,3,كورنيش النيل,116,19.78,وسط البلد,30.046169,31.235652
2025-11-14T19:52:52.847340,5,محور المشير/التجمع,155,29.17,التجمع الخامس,30.02092,31.49869
2025-11-14T19:52:53.848201,3,كورنيش النيل,98,12.8,وسط البلد,30.046487,31.235352
2025-11-14T19:52:54.849484,2,الهرم,89,44.96,الجيزة,29.973079,31.125864
2025-11-14T19:52:55.850968,3,كورنيش النيل,90,37.54,وسط البلد,30.045658,31.234798
2025-11-14T19:52:56.851961,5,محور المشير/التجمع,132,21.33,التجمع الخامس,30.020235,31.499445
2025-11-14T19:52:57.853358,3,كورنيش النيل,83,20.74,وسط البلد,30.046239,31.234469
2025-11-14T19:52:58.854827,5,محور المشير/التجمع,116,19.86,التجمع الخامس,30.020277,31.499338
2025-11-14T19:52:59.856181,4,المعادي كورنيش,113,36.97,المعادي,29.974252,31.255184
2025-11-14T19:53:00.857166,1,صلاح سالم,177,14.06,مدينة نصر,30.066761,31.329931
2025-11-14T19:53:01.858810,2,الهرم,124,40.57,الجيزة,29.973223,31.126501
2025-11-14T19:53:02.860266,4,المعادي كورنيش,146,30.65,المعادي,29.974883,31.255586
2025-11-14T19:53:03.861473,5,محور المشير/التجمع,64,32.1,التجمع الخامس,30.02067,31.498253
2025-11-14T19:53:04.862521,1,صلاح سالم,73,37.46,مدينة نصر,30.067341,31.329615
2025-11-14T19:53:05.864144,1,صلاح سالم,122,32.17,مدينة نصر,30.066441,31.329322
2025-11-14T19:53:06.866061,4,المعادي كورنيش,141,30.0,المعادي,29.974665,31.254562
2025-11-14T19:53:07.867503,3,كورنيش النيل,114,30.09,وسط البلد,30.046301,31.235543
2025-11-14T19:53:08.868935,4,المعادي كورنيش,163,31.98,المعادي,29.974925,31.255015
2025-11-14T19:53:09.870386,1,صلاح سالم,141,26.81,مدينة نصر,30.06667,31.329856
2025-11-14T19:53:10.872095,5,محور المشير/التجمع,135,19.28,التجمع الخامس,30.021234,31.498455
2025-11-14T19:53:11.873314,4,المعادي كورنيش,131,40.7,المعادي,29.974472,31.254714
2025-11-14T19:53:12.874737,5,محور المشير/التجمع,98,24.45,التجمع الخامس,30.021253,31.498757
2025-11-14T19:53:13.876177,4,المعادي كورنيش,129,38.12,المعادي,29.975435,31.254805
2025-11-14T19:53:14.877135,4,المعادي كورنيش,117,40.63,المعادي,29.974401,31.254971
2025-11-14T19:53:15.878622,1,صلاح سالم,201,27.62,مدينة نصر,30.067491,31.33057
2025-11-14T19:53:16.879734,1,صلاح سالم,106,21.88,مدينة نصر,30.066356,31.329373
2025-11-14T19:53:17.881213,5,محور المشير/التجمع,118,35.05,التجمع الخامس,30.020458,31.499516
2025-11-14T19:53:18.882571,1,صلاح سالم,113,14.28,مدينة نصر,30.06758,31.330589
2025-11-14T19:53:19.883875,3,كورنيش النيل,97,39.06,وسط البلد,30.046479,31.235655
2025-11-14T19:53:20.885832,2,الهرم,148,31.92,الجيزة,29.973457,31.126213
2025-11-14T19:53:21.886919,3,كورنيش النيل,137,35.99,وسط البلد,30.045315,31.234776
2025-11-14T19:53:22.888533,4,المعادي كورنيش,123,34.82,المعادي,29.974569,31.255618
2025-11-14T19:53:23.890090,3,كورنيش النيل,113,22.48,وسط البلد,30.046022,31.235354
2025-11-14T19:53:24.891592,5,محور المشير/التجمع,83,42.58,التجمع الخامس,30.021118,31.49825
2025-11-14T19:53:25.892692,1,صلاح سالم,216,8.5,مدينة نصر,30.067105,31.330621
2025-11-14T19:53:26.894545,5,محور المشير/التجمع,124,22.91,التجمع الخامس,30.020397,31.498642
2025-11-14T19:53:27.896058,2,الهرم,134,34.91,الجيزة,29.97325,31.126736
2025-11-14T19:53:28.897875,3,كورنيش النيل,115,28.76,وسط البلد,30.046058,31.235704
2025-11-14T19:53:29.899389,4,المعادي كورنيش,122,29.04,المعادي,29.974251,31.255672
2025-11-14T19:53:30.900741,4,المعادي كورنيش,53,33.43,المعادي,29.975557,31.255164
2025-11-14T19:53:31.902365,1,صلاح سالم,115,24.53,مدينة نصر,30.066978,31.330029
2025-11-14T19:53:32.903653,1,صلاح سالم,119,37.18,مدينة نصر,30.066261,31.329731
2025-11-14T19:53:33.905375,2,الهرم,135,20.83,الجيزة,29.972262,31.126099
2025-11-14T19:53:34.907119,3,كورنيش النيل,77,38.55,وسط البلد,30.046408,31.23522
2025-11-14T19:53:35.908719,4,المعادي كورنيش,149,32.55,المعادي,29.974474,31.254363
2025-11-14T19:53:36.909857,4,المعادي كورنيش,72,21.52,المعادي,29.975664,31.254362
2025-11-14T19:53:37.911583,4,المعادي كورنيش,133,31.06,المعادي,29.974253,31.254789
2025-11-14T19:53:38.913051,1,صلاح سالم,138,38.94,مدينة نصر,30.066661,31.330267
2025-11-14T19:53:39.914825,3,كورنيش النيل,2,36.02,وسط البلد,30.045709,31.234711
2025-11-14T19:53:40.916180,3,كورنيش النيل,150,42.36,وسط البلد,30.045491,31.23548
2025-11-14T19:53:41.917662,3,كورنيش النيل,191,25.66,وسط البلد,30.045863,31.235767
2025-11-14T19:53:42.919341,5,محور المشير/التجمع,132,26.79,التجمع الخامس,30.02025,31.499724
2025-11-14T19:53:43.920940,3,كورنيش النيل,159,35.89,وسط البلد,30.046752,31.234717
2025-11-14T19:53:44.922837,3,كورنيش النيل,110,38.94,وسط البلد,30.045929,31.235032
2025-11-14T19:53:45.924317,4,المعادي كورنيش,110,38.98,المعادي,29.975073,31.254464
2025-11-14T19:53:46.925730,3,كورنيش النيل,43,26.46,وسط البلد,30.046495,31.235446
2025-11-14T19:53:47.927357,5,محور المشير/التجمع,152,18.69,التجمع الخامس,30.021398,31.499726
2025-11-14T19:53:48.928791,3,كورنيش النيل,112,32.3,وسط البلد,30.045998,31.235091
2025-11-14T19:53:49.930016,4,المعادي كورنيش,165,29.31,المعادي,29.974377,31.255601
2025-11-14T19:53:50.931242,1,صلاح سالم,142,34.21,مدينة نصر,30.066931,31.329623
2025-11-14T19:53:51.932287,1,صلاح سالم,133,37.21,مدينة نصر,30.067617,31.329761
2025-11-14T19:53:52.933716,4,المعادي كورنيش,189,23.59,المعادي,29.974324,31.25478
2025-11-14T19:53:53.935048,4,المعادي كورنيش,208,28.99,المعادي,29.974609,31.255301
2025-11-14T19:53:54.936334,1,صلاح سالم,43,52.08,مدينة نصر,30.06633,31.330564
2025-11-14T19:53:55.937688,4,المعادي كورنيش,135,36.34,المعادي,29.974577,31.255242
2025-11-14T19:53:56.938849,3,كورنيش النيل,66,44.68,وسط البلد,30.046386,31.235294
2025-11-14T19:53:57.940086,4,المعادي كورنيش,94,24.65,المعادي,29.974586,31.254922
2025-11-14T19:53:58.941561,5,محور المشير/التجمع,105,36.73,التجمع الخامس,30.020945,31.498372
2025-11-14T19:53:59.942828,2,الهرم,104,33.12,الجيزة,29.973272,31.125361
2025-11-14T19:54:00.944349,4,المعادي كورنيش,63,22.08,المعادي,29.974335,31.255286
2025-11-14T19:54:01.945937,3,كورنيش النيل,144,22.94,وسط البلد,30.045656,31.235207
2025-11-14T19:54:02.947386,1,صلاح سالم,197,39.17,مدينة نصر,30.066341,31.330357
2025-11-14T19:54:03.948608,4,المعادي كورنيش,143,45.31,المعادي,29.975785,31.25494
2025-11-14T19:54:04.949877,5,محور المشير/التجمع,146,26.83,التجمع الخامس,30.020811,31.499027
2025-11-14T19:54:05.951146,1,صلاح سالم,104,38.01,مدينة نصر,30.067627,31.330471
2025-11-14T19:54:06.952582,2,الهرم,58,27.79,الجيزة,29.972293,31.126586
2025-11-14T19:54:07.954048,4,المعادي كورنيش,215,9.83,المعادي,29.974498,31.254808
2025-11-14T19:54:08.955589,4,المعادي كورنيش,62,29.64,المعادي,29.975258,31.255103
2025-11-14T19:54:09.956910,4,المعادي كورنيش,163,28.78,المعادي,29.974339,31.255223
2025-11-14T19:54:10.958350,2,الهرم,134,30.04,الجيزة,29.972292,31.125835
2025-11-14T19:54:11.959470,4,المعادي كورنيش,82,40.66,المعادي,29.975358,31.254549
2025-11-14T19:54:12.960554,2,الهرم,113,27.6,الجيزة,29.972481,31.125432
2025-11-14T19:54:13.961898,2,الهرم,124,42.52,الجيزة,29.973726,31.126751
