timestamp,road_id,road_name,cars_count,avg_speed,congestion_level,district
1/1/2025 8:00,1,Salah Salem,152,67.79,34.21,Nasr City
1/1/2025 8:00,2,Al Haram,238,55.81,48.19,Giza
1/1/2025 8:00,3,Nile Corniche,124,47.55,51.45,Downtown
1/1/2025 8:00,4,Maadi Corniche,149,28.57,68.43,Maadi
1/1/2025 8:00,5,Teseen Axis - New Cairo,199,23.38,78.62,Fifth Settlement
1/1/2025 8:05,1,Salah Salem,207,32.74,66.26,Nasr City
1/1/2025 8:05,2,Al Haram,210,38.25,61.75,Giza
1/1/2025 8:05,3,Nile Corniche,138,37.47,66.53,Downtown
1/1/2025 8:05,4,Maadi Corniche,237,41.98,55.02,Maadi
1/1/2025 8:05,5,Teseen Axis - New Cairo,157,50.85,52.15,Fifth Settlement
1/1/2025 8:10,1,Salah Salem,180,71.6,29.4,Nasr City
1/1/2025 8:10,2,Al Haram,70,47.03,48.97,Giza
1/1/2025 8:10,3,Nile Corniche,181,76.53,19.47,Downtown
1/1/2025 8:10,4,Maadi Corniche,58,20.96,75.04,Maadi
1/1/2025 8:10,5,Teseen Axis - New Cairo,133,34.46,66.54,Fifth Settlement
1/1/2025 8:15,1,Salah Salem,221,49.71,47.29,Nasr City
1/1/2025 8:15,2,Al Haram,130,35.53,66.47,Giza
1/1/2025 8:15,3,Nile Corniche,181,38.7,61.3,Downtown
1/1/2025 8:15,4,Maadi Corniche,103,52.8,47.2,Maadi
1/1/2025 8:15,5,Teseen Axis - New Cairo,240,70.54,25.46,Fifth Settlement
1/1/2025 8:20,1,Salah Salem,239,75.6,26.4,Nasr City
1/1/2025 8:20,2,Al Haram,239,39.52,56.48,Giza
1/1/2025 8:20,3,Nile Corniche,160,69.72,34.28,Downtown
1/1/2025 8:20,4,Maadi Corniche,237,52.56,50.44,Maadi
1/1/2025 8:20,5,Teseen Axis - New Cairo,206,68.13,26.87,Fifth Settlement
1/1/2025 8:25,1,Salah Salem,138,79.21,22.79,Nasr City
1/1/2025 8:25,2,Al Haram,178,31.92,70.08,Giza
1/1/2025 8:25,3,Nile Corniche,112,68.93,26.07,Downtown
1/1/2025 8:25,4,Maadi Corniche,185,63.74,31.26,Maadi
1/1/2025 8:25,5,Teseen Axis - New Cairo,172,24.44,76.56,Fifth Settlement
1/1/2025 8:30,1,Salah Salem,90,74.9,28.1,Nasr City
1/1/2025 8:30,2,Al Haram,121,46.97,48.03,Giza
1/1/2025 8:30,3,Nile Corniche,97,42.25,59.75,Downtown
1/1/2025 8:30,4,Maadi Corniche,86,63.78,38.22,Maadi
1/1/2025 8:30,5,Teseen Axis - New Cairo,84,48.33,50.67,Fifth Settlement
1/1/2025 8:35,1,Salah Salem,224,62.79,32.21,Nasr City
1/1/2025 8:35,2,Al Haram,54,53.68,47.32,Giza
1/1/2025 8:35,3,Nile Corniche,76,51.36,52.64,Downtown
1/1/2025 8:35,4,Maadi Corniche,91,46.36,50.64,Maadi
1/1/2025 8:35,5,Teseen Axis - New Cairo,112,73.75,21.25,Fifth Settlement
1/1/2025 8:40,1,Salah Salem,101,53.8,44.2,Nasr City
1/1/2025 8:40,2,Al Haram,200,56.27,41.73,Giza
1/1/2025 8:40,3,Nile Corniche,62,24.62,72.38,Downtown
1/1/2025 8:40,4,Maadi Corniche,135,72.83,31.17,Maadi
1/1/2025 8:40,5,Teseen Axis - New Cairo,94,37.74,61.26,Fifth Settlement
1/1/2025 8:45,1,Salah Salem,183,47.39,50.61,Nasr City
1/1/2025 8:45,2,Al Haram,79,73,31,Giza
1/1/2025 8:45,3,Nile Corniche,141,41.38,53.62,Downtown
1/1/2025 8:45,4,Maadi Corniche,178,33.68,69.32,Maadi
1/1/2025 8:45,5,Teseen Axis - New Cairo,165,41.15,55.85,Fifth Settlement
1/1/2025 8:50,1,Salah Salem,152,29.88,73.12,Nasr City
1/1/2025 8:50,2,Al Haram,111,33.33,63.67,Giza
1/1/2025 8:50,3,Nile Corniche,221,34.65,65.35,Downtown
1/1/2025 8:50,4,Maadi Corniche,209,51.13,51.87,Maadi
1/1/2025 8:50,5,Teseen Axis - New Cairo,229,41.82,53.18,Fifth Settlement
1/1/2025 8:55,1,Salah Salem,235,77.75,23.25,Nasr City
1/1/2025 8:55,2,Al Haram,179,62.74,36.26,Giza
1/1/2025 8:55,3,Nile Corniche,162,79.86,15.14,Downtown
